"400N1_1#008"
""
"Potential (V)";"Current (uA)"
"0.28600";"87.13750"
"0.28800";"87.14166"
"0.29000";"87.15417"
"0.29200";"87.12500"
"0.29400";"87.04584"
"0.29600";"86.95834"
"0.29800";"86.87083"
"0.30000";"86.78750"
"0.30200";"86.68333"
"0.30400";"86.52500"
"0.30600";"86.37083"
"0.30800";"86.20000"
"0.31000";"86.04584"
"0.31200";"85.87916"
"0.31400";"85.66666"
"0.31600";"85.45416"
"0.31800";"85.22500"
"0.32000";"85.01250"
"0.32200";"84.78333"
"0.32400";"84.52084"
"0.32600";"84.25417"
"0.32800";"83.98750"
"0.33000";"83.73750"
"0.33200";"83.48333"
"0.33400";"83.20000"
"0.33600";"82.90833"
"0.33800";"82.62501"
"0.34000";"82.35000"
"0.34200";"82.07917"
"0.34400";"81.78333"
"0.34600";"81.48750"
"0.34800";"81.20000"
"0.35000";"80.92500"
"0.35200";"80.64999"
"0.35400";"80.34167"
"0.35600";"80.03750"
"0.35800";"79.73333"
"0.36000";"79.44583"
"0.36200";"79.15417"
"0.36400";"78.85000"
"0.36600";"78.54583"
"0.36800";"78.23750"
"0.37000";"77.94166"
"0.37200";"77.65417"
"0.37400";"77.34583"
"0.37600";"77.04583"
"0.37800";"76.73750"
"0.38000";"76.46667"
"0.38200";"76.17500"
"0.38400";"75.90000"
"0.38600";"75.61250"
"0.38800";"75.34167"
"0.39000";"75.05833"
"0.39200";"74.76250"
"0.39400";"74.47500"
"0.39600";"74.18750"
"0.39800";"73.91666"
"0.40000";"73.64166"
"0.40200";"73.35833"
"0.40400";"73.08334"
"0.40600";"72.81250"
"0.40800";"72.56250"
"0.41000";"72.29584"
"0.41200";"72.01250"
"0.41400";"71.73334"
"0.41600";"71.47500"
"0.41800";"71.23333"
"0.42000";"70.98333"
"0.42200";"70.72083"
"0.42400";"70.46250"
"0.42600";"70.20417"
"0.42800";"69.97083"
"0.43000";"69.72501"
"0.43200";"69.47500"
"0.43400";"69.22083"
"0.43600";"68.97916"
"0.43800";"68.74583"
"0.44000";"68.51667"
"0.44200";"68.27084"
