"400N1_1#001"
""
"Potential (V)";"Current (uA)"
"0.09000";"-318.16666"
"0.08800";"-321.25000"
"0.08600";"-324.37500"
"0.08400";"-327.58334"
"0.08200";"-330.70834"
"0.08000";"-333.45834"
"0.07800";"-336.25000"
"0.07600";"-338.91666"
"0.07400";"-341.79166"
"0.07200";"-344.50000"
"0.07000";"-347.04166"
"0.06800";"-349.50000"
"0.06600";"-351.95834"
"0.06400";"-354.41666"
"0.06200";"-356.79166"
"0.06000";"-358.87500"
"0.05800";"-360.95834"
"0.05600";"-362.95834"
"0.05400";"-365.00000"
"0.05200";"-367.00000"
"0.05000";"-368.75000"
"0.04800";"-370.45834"
"0.04600";"-371.87500"
"0.04400";"-373.33334"
"0.04200";"-374.75000"
"0.04000";"-376.08334"
"0.03800";"-377.33334"
"0.03600";"-378.37500"
"0.03400";"-379.41666"
"0.03200";"-380.29166"
"0.03000";"-381.08334"
"0.02800";"-381.79166"
"0.02600";"-382.45834"
"0.02400";"-383.04166"
"0.02200";"-383.54166"
"0.02000";"-383.83334"
"0.01800";"-384.00000"
"0.01600";"-384.04166"
"0.01400";"-384.04166"
"0.01200";"-384.00000"
"0.01000";"-383.70834"
"0.00800";"-383.29166"
"0.00600";"-382.83334"
"0.00400";"-382.37500"
"0.00200";"-381.83334"
"0.00000";"-381.12500"
"-0.00200";"-380.29166"
"-0.00400";"-379.45834"
"-0.00600";"-378.37500"
"-0.00800";"-377.12500"
"-0.01000";"-375.66666"
"-0.01200";"-374.20834"
"-0.01400";"-372.75000"
"-0.01600";"-371.20834"
"-0.01800";"-369.41666"
"-0.02000";"-367.50000"
"-0.02200";"-365.41666"
"-0.02400";"-363.37500"
"-0.02600";"-361.25000"
"-0.02800";"-358.95834"
"-0.03000";"-356.58334"
"-0.03200";"-354.08334"
"-0.03400";"-351.54166"
"-0.03600";"-348.91666"
"-0.03800";"-346.20834"
"-0.04000";"-343.50000"
"-0.04200";"-340.70834"
"-0.04400";"-337.87500"
"-0.04600";"-334.95834"
"-0.04800";"-331.91666"
