"400N1_1#002"
""
"Potential (V)";"Current (uA)"
"0.79200";"582.58331"
"0.79400";"581.12500"
"0.79600";"579.66669"
"0.79800";"578.20831"
"0.80000";"576.66669"
"0.80200";"575.12500"
"0.80400";"573.70831"
"0.80600";"572.33331"
"0.80800";"570.95831"
"0.81000";"569.62500"
"0.81200";"568.37500"
"0.81400";"567.20831"
"0.81600";"565.95831"
"0.81800";"564.62500"
"0.82000";"563.29169"
"0.82200";"561.95831"
"0.82400";"560.75000"
"0.82600";"559.54169"
"0.82800";"558.37500"
"0.83000";"557.16669"
"0.83200";"556.00000"
"0.83400";"554.83331"
"0.83600";"553.66669"
"0.83800";"552.50000"
"0.84000";"551.37500"
"0.84200";"550.20831"
"0.84400";"549.12500"
"0.84600";"548.04169"
"0.84800";"547.00000"
"0.85000";"545.91669"
"0.85200";"544.83331"
"0.85400";"543.75000"
"0.85600";"542.70831"
"0.85800";"541.66669"
"0.86000";"540.62500"
"0.86200";"539.54169"
"0.86400";"538.50000"
"0.86600";"537.50000"
"0.86800";"536.58331"
"0.87000";"535.62500"
"0.87200";"534.70831"
"0.87400";"533.66669"
"0.87600";"532.75000"
"0.87800";"531.79169"
"0.88000";"530.91669"
"0.88200";"529.95831"
"0.88400";"529.08331"
"0.88600";"528.25000"
"0.88800";"527.45831"
"0.89000";"526.70831"
"0.89200";"526.00000"
"0.89400";"525.29169"
"0.89600";"524.54169"
"0.89800";"523.75000"
"0.90000";"523.00000"
"0.89800";"521.25000"
"0.89600";"519.66669"
"0.89400";"518.29169"
"0.89200";"517.00000"
"0.89000";"515.70831"
"0.88800";"514.41669"
"0.88600";"513.08331"
"0.88400";"511.83334"
"0.88200";"510.66666"
"0.88000";"509.66666"
"0.87800";"508.66666"
"0.87600";"507.62500"
"0.87400";"506.54166"
"0.87200";"505.45834"
"0.87000";"504.41666"
"0.86800";"503.37500"
"0.86600";"502.37500"
"0.86400";"501.37500"
"0.86200";"500.41666"
"0.86000";"499.41666"
"0.85800";"498.41666"
"0.85600";"497.45834"
"0.85400";"496.54166"
"0.85200";"495.70834"
"0.85000";"494.75000"
"0.84800";"493.87500"
"0.84600";"492.91666"
"0.84400";"492.04166"
