"400N1_1#002"
""
"Potential (V)";"Current (uA)"
"0.06200";"0.69583"
"0.06400";"0.92917"
"0.06600";"1.16667"
"0.06800";"1.41250"
"0.07000";"1.67083"
"0.07200";"1.95000"
"0.07400";"2.25000"
"0.07600";"2.57083"
"0.07800";"2.89167"
"0.08000";"3.23750"
"0.08200";"3.59583"
"0.08400";"3.99167"
"0.08600";"4.41250"
"0.08800";"4.82917"
"0.09000";"5.26667"
"0.09200";"5.72917"
"0.09400";"6.23750"
"0.09600";"6.76667"
"0.09800";"7.28333"
"0.10000";"7.83333"
"0.10200";"8.41667"
"0.10400";"9.05833"
"0.10600";"9.71667"
"0.10800";"10.36667"
"0.11000";"11.04167"
"0.11200";"11.75000"
"0.11400";"12.50833"
"0.11600";"13.28750"
"0.11800";"14.05833"
"0.12000";"14.88333"
"0.12200";"15.73333"
"0.12400";"16.64167"
"0.12600";"17.51250"
"0.12800";"18.41667"
"0.13000";"19.34167"
"0.13200";"20.33333"
"0.13400";"21.34167"
"0.13600";"22.33750"
"0.13800";"23.36667"
"0.14000";"24.40000"
"0.14200";"25.49167"
"0.14400";"26.59583"
"0.14600";"27.70417"
"0.14800";"28.83750"
"0.15000";"29.98333"
"0.15200";"31.15417"
"0.15400";"32.33750"
"0.15600";"33.49167"
"0.15800";"34.67917"
"0.16000";"35.84584"
"0.16200";"37.04167"
"0.16400";"38.24167"
"0.16600";"39.40417"
"0.16800";"40.60000"
"0.17000";"41.80417"
"0.17200";"43.06667"
"0.17400";"44.30000"
"0.17600";"45.51666"
"0.17800";"46.78750"
"0.18000";"48.12083"
"0.18200";"49.50417"
"0.18400";"50.82500"
"0.18600";"52.05000"
"0.18800";"53.22499"
"0.19000";"54.39583"
"0.19200";"55.57917"
"0.19400";"56.74166"
"0.19600";"57.81250"
"0.19800";"58.85833"
"0.20000";"59.87917"
"0.20200";"60.94167"
"0.20400";"61.96666"
"0.20600";"62.90416"
"0.20800";"63.80833"
"0.21000";"64.70000"
"0.21200";"65.62083"
"0.21400";"66.51250"
"0.21600";"67.34167"
"0.21800";"68.12917"
"0.22000";"68.88333"
"0.22200";"69.65417"
"0.22400";"70.39584"
"0.22600";"71.08750"
"0.22800";"71.77499"
"0.23000";"72.50416"
"0.23200";"73.27917"
"0.23400";"73.99583"
"0.23600";"74.56667"
"0.23800";"75.02084"
"0.24000";"75.40417"
"0.24200";"75.78333"
"0.24400";"76.12500"
"0.24600";"76.39166"
"0.24800";"76.61250"
"0.25000";"76.82083"
"0.25200";"77.03333"
"0.25400";"77.17500"
"0.25600";"77.26250"
"0.25800";"77.32500"
"0.26000";"77.39999"
"0.26200";"77.45000"
"0.26400";"77.42500"
"0.26600";"77.37083"
"0.26800";"77.28750"
"0.27000";"77.20834"
"0.27200";"77.10416"
"0.27400";"76.95000"
"0.27600";"76.77084"
"0.27800";"76.57083"
"0.28000";"76.36667"
"0.28200";"76.14584"
"0.28400";"75.87500"
"0.28600";"75.60416"
"0.28800";"75.32500"
"0.29000";"75.05000"
"0.29200";"74.73750"
"0.29400";"74.38333"
"0.29600";"74.02500"
"0.29800";"73.66250"
"0.30000";"73.30833"
"0.30200";"72.93750"
"0.30400";"72.52500"
"0.30600";"72.11667"
"0.30800";"71.70834"
"0.31000";"71.33334"
"0.31200";"70.94584"
"0.31400";"70.52084"
"0.31600";"70.09167"
"0.31800";"69.65833"
"0.32000";"69.24583"
"0.32200";"68.82500"
"0.32400";"68.37917"
"0.32600";"67.92917"
"0.32800";"67.48750"
"0.33000";"67.06667"
"0.33200";"66.65417"
"0.33400";"66.20832"
"0.33600";"65.77499"
"0.33800";"65.34583"
"0.34000";"64.94167"
"0.34200";"64.53333"
"0.34400";"64.10416"
"0.34600";"63.68333"
"0.34800";"63.27083"
"0.35000";"62.88750"
"0.35200";"62.50833"
"0.35400";"62.10000"
"0.35600";"61.69583"
"0.35800";"61.29167"
"0.36000";"60.92083"
"0.36200";"60.54167"
"0.36400";"60.15834"
"0.36600";"59.77083"
"0.36800";"59.39167"
"0.37000";"59.02916"
"0.37200";"58.67083"
"0.37400";"58.31250"
"0.37600";"57.95833"
"0.37800";"57.60833"
"0.38000";"57.27083"
"0.38200";"56.92916"
"0.38400";"56.59166"
"0.38600";"56.25000"
"0.38800";"55.92917"
"0.39000";"55.60833"
"0.39200";"55.29166"
"0.39400";"54.97084"
"0.39600";"54.65834"
"0.39800";"54.35833"
"0.40000";"54.05833"
"0.40200";"53.75000"
"0.40400";"53.45000"
"0.40600";"53.15416"
"0.40800";"52.87917"
"0.41000";"52.60000"
"0.41200";"52.31250"
"0.41400";"52.03749"
"0.41600";"51.76250"
"0.41800";"51.50417"
"0.42000";"51.24167"
"0.42200";"50.97500"
"0.42400";"50.71666"
"0.42600";"50.46251"
"0.42800";"50.22500"
"0.43000";"49.98334"
"0.43200";"49.74583"
"0.43400";"49.50417"
"0.43600";"49.27083"
"0.43800";"49.03334"
"0.44000";"48.80417"
"0.44200";"48.57083"
"0.44400";"48.34584"
"0.44600";"48.12083"
"0.44800";"47.90000"
"0.45000";"47.68333"
"0.45200";"47.47084"
"0.45400";"47.25833"
"0.45600";"47.04583"
"0.45800";"46.84166"
"0.46000";"46.64167"
"0.46200";"46.43750"
"0.46400";"46.23750"
"0.46600";"46.04167"
"0.46800";"45.84583"
"0.47000";"45.65001"
"0.47200";"45.45000"
"0.47400";"45.26667"
"0.47600";"45.08333"
"0.47800";"44.90834"
"0.48000";"44.73333"
"0.48200";"44.55833"
"0.48400";"44.38333"
"0.48600";"44.20417"
"0.48800";"44.03334"
"0.49000";"43.86667"
"0.49200";"43.70000"
"0.49400";"43.52501"
"0.49600";"43.36250"
"0.49800";"43.20417"
"0.50000";"43.05000"
"0.50200";"42.89167"
"0.50400";"42.73750"
"0.50600";"42.58750"
"0.50800";"42.43333"
"0.51000";"42.27917"
"0.51200";"42.12083"
"0.51400";"41.97917"
"0.51600";"41.83750"
"0.51800";"41.70000"
"0.52000";"41.55000"
"0.52200";"41.40416"
"0.52400";"41.26667"
"0.52600";"41.13333"
"0.52800";"40.99166"
"0.53000";"40.84583"
"0.53200";"40.70833"
"0.53400";"40.58750"
"0.53600";"40.46250"
"0.53800";"40.33333"
"0.54000";"40.19584"
"0.54200";"40.07083"
"0.54400";"39.94583"
"0.54600";"39.82500"
"0.54800";"39.70000"
"0.55000";"39.57917"
"0.55200";"39.45417"
"0.55400";"39.33333"
"0.55600";"39.21250"
"0.55800";"39.10000"
"0.56000";"38.98333"
"0.56200";"38.86666"
"0.56400";"38.74583"
"0.56600";"38.62917"
"0.56800";"38.52083"
"0.57000";"38.42083"
"0.57200";"38.31667"
"0.57400";"38.21250"
"0.57600";"38.09584"
"0.57800";"37.99583"
"0.58000";"37.88334"
"0.58200";"37.79167"
"0.58400";"37.68750"
"0.58600";"37.59584"
"0.58800";"37.49583"
"0.59000";"37.39167"
"0.59200";"37.28750"
"0.59400";"37.18333"
"0.59600";"37.09584"
"0.59800";"37.00417"
"0.60000";"36.91250"
"0.59800";"36.70417"
"0.59600";"36.52916"
"0.59400";"36.38750"
"0.59200";"36.25000"
"0.59000";"36.11667"
"0.58800";"35.98750"
"0.58600";"35.85833"
"0.58400";"35.74167"
"0.58200";"35.62917"
"0.58000";"35.52500"
"0.57800";"35.41250"
"0.57600";"35.30000"
"0.57400";"35.18750"
"0.57200";"35.07500"
"0.57000";"34.96666"
"0.56800";"34.85833"
"0.56600";"34.75417"
"0.56400";"34.64583"
"0.56200";"34.54583"
"0.56000";"34.44167"
"0.55800";"34.34584"
"0.55600";"34.24583"
"0.55400";"34.15417"
"0.55200";"34.05833"
"0.55000";"33.96250"
"0.54800";"33.86250"
"0.54600";"33.76667"
"0.54400";"33.67500"
"0.54200";"33.58333"
"0.54000";"33.49166"
"0.53800";"33.39583"
"0.53600";"33.30833"
"0.53400";"33.22083"
"0.53200";"33.13750"
"0.53000";"33.04583"
"0.52800";"32.95417"
"0.52600";"32.86250"
"0.52400";"32.77916"
